ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Category
Sekute-14_ear-1,,Sekute,14_ear,kutwi,kutwi,k u tʷ i,,Sawka2019,,,^ k u tw i $,default,Body Part
Musukotwani-14_ear-1,,Musukotwani,14_ear,kutwi,kutwi,k u tʷ i,,Sawka2019,,,^ k u tw i $,default,Body Part
Ila-14_ear-1,,Ila,14_ear,kutwi,kutwi,k u tʷ i,,Sawka2019,,,^ k u tw i $,default,Body Part
Lozi-14_ear-1,,Lozi,14_ear,zebe,zebe,z e b e,,Sawka2019,,,^ z e b e $,default,Body Part
Chewa-14_ear-1,,Chewa,14_ear,khutu,khutu,kʰ u t u,,Sawka2019,,,^ kh u t u $,default,Body Part
Nkoya1-14_ear-1,,Nkoya1,14_ear,lilu,lilu,l i l u,,Sawka2019,,,^ l i l u $,default,Body Part
Nkoya2-14_ear-1,,Nkoya2,14_ear,jitu,jitu,j/dʒ i t u,,Sawka2019,,,^ j i t u $,default,Body Part
Tonga-15_eye-1,,Tonga,15_eye,linso,linso,l i n s o,,Sawka2019,,,^ l i ns o $,default,Body Part
MukuniMarch-15_eye-1,,MukuniMarch,15_eye,linso,linso,l i n s o,,Sawka2019,,,^ l i ns o $,default,Body Part
Mukuni-15_eye-1,,Mukuni,15_eye,linso,linso,l i n s o,,Sawka2019,,,^ l i ns o $,default,Body Part
Sekute2013-15_eye-1,,Sekute2013,15_eye,linso,linso,l i n s o,,Sawka2019,,,^ l i ns o $,default,Body Part
Sekute-15_eye-1,,Sekute,15_eye,linso,linso,l i n s o,,Sawka2019,,,^ l i ns o $,default,Body Part
Musukotwani-15_eye-1,,Musukotwani,15_eye,linso,linso,l i n s o,,Sawka2019,,,^ l i ns o $,default,Body Part
Ila-15_eye-1,,Ila,15_eye,linso,linso,l i n s o,,Sawka2019,,,^ l i ns o $,default,Body Part
Lozi-15_eye-1,,Lozi,15_eye,liito,liito,l iː t o,,Sawka2019,,,^ l ii t o $,default,Body Part
Chewa-15_eye-1,,Chewa,15_eye,diso,diso,d i s o,,Sawka2019,,,^ d i s o $,default,Body Part
Nkoya1-15_eye-1,,Nkoya1,15_eye,liho,liho,l i h o,,Sawka2019,,,^ l i h o $,default,Body Part
Nkoya2-15_eye-1,,Nkoya2,15_eye,jiho,jiho,j/dʒ i h o,,Sawka2019,,,^ j i h o $,default,Body Part
Tonga-16_eyebrow-1,,Tonga,16_eyebrow,cikoye,cikoye,c/tʃ i k o y e,,Sawka2019,,,^ c i k o y e $,default,Body Part
